CountryID,N,Lesbian women,Gay men,Bisexual women,Bisexual men,Transgender
EU Total,93079,15236,57448,6424,7200,6771
AT,2543,437,1558,164,217,167
BE,2901,424,1998,132,182,165
BG,1033,226,474,139,88,106
CY,265,41,164,18,17,25
CZ,2469,565,1432,163,139,170
DE,20271,2445,13907,590,2000,1329
DK,1710,393,930,136,108,143
EE,374,99,170,61,20,24
GR,2760,399,1590,219,288,264
ES,6388,897,4409,354,514,214
FI,3439,820,1192,756,190,481
FR,8375,1302,5720,326,592,435
HU,2267,307,1455,135,236,134
IE,1625,423,864,141,58,139
IT,13255,2136,8668,805,996,650
LT,821,177,439,100,65,40
LU,318,51,187,16,26,38
LV,501,150,200,83,22,46
MT,358,109,173,40,18,18
NL,3175,614,1937,214,159,251
PL,2790,375,1754,264,138,259
PT,2125,456,1168,268,146,87
RO,1260,139,690,70,214,147
SE,2464,427,1053,341,269,374
SI,636,160,345,64,38,29
SK,1000,144,584,96,61,115
GB,6759,1285,3795,572,294,813
HR,1197,235,592,157,105,108
