CountryCode,subset,question_code,question_label,answer,percentage,notes
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,35,
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60,
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5,[0]
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,48,
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,37,
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,15,
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,12,[0]
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,75,
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,13,[0]
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,20,[0]
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52,[0]
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,28,[0]
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,33,
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,62,
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5,[0]
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47,
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,49,
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,4,
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,41,
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,55,
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3,[0]
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29,[0]
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,58,[0]
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,12,[0]
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,12,
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52,
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,36,
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,32,
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,58,
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10,
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47,
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,51,
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,2,[0]
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,40,
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52,
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,8,
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,16,[0]
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,74,
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10,[0]
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,34,
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,54,
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,12,[0]
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47,
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,50,
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,2,[0]
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,24,
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,56,
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,21,
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,35,[0]
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60,[0]
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5,[0]
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,42,[0]
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,47,[0]
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,11,[0]
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,26,[0]
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,74,[0]
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,0,[0]
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,:, [1] 
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,:, [1] 
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,:, [1] 
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,64,
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,33,
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3,[0]
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29,
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60,
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,11,
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,26,
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60,
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,14,[0]
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,13,[0]
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,78,
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,9,[0]
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47,
