law_sexual_orientation,policy_other_positive_measures_sexual_orientation,law_gender_identity,policy_other_positive_measures_gender_identity,law_intersex,policy_other_positive_measures_intersex
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,NA,1,1,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,1,1,1,1,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,1,NA,1,NA,NA
NA,NA,NA,NA,NA,NA
1,NA,1,NA,NA,NA
1,1,1,1,NA,NA
NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA
1,NA,1,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,1,1,1,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
NA,1,NA,NA,NA,NA
1,NA,1,1,NA,NA
1,1,1,1,1,1
1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,1,1,1,1,1
1,1,1,NA,NA,NA
1,NA,1,NA,NA,NA
1,1,1,1,1,NA
1,NA,NA,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,1,NA,1,0.5
1,NA,1,NA,1,NA
NA,1,NA,1,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,1,NA,1,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
