public_event_held_no_state_obstruction_of_freedom_of_assembly_3_years,public_event_held_there_is_enough_protection_last_3_years,associations_operate_no_state_obstruction_of_freedom_association_last_3_years,lgbti_human_rights_defenders_are_not_at_risk,no_laws_limiting_external_funding,no_laws_limiting_freedom_of_expression_national_local
1,1,1,1,1,1
1,1,1,1,1,1
NA,NA,1,NA,1,1
1,1,1,1,1,1
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,1
1,1,1,1,1,1
1,1,1,1,1,1
1,NA,1,NA,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
NA,NA,1,NA,1,1
1,1,1,1,1,1
1,1,1,1,1,1
NA,NA,1,1,NA,NA
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,NA
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
NA,NA,NA,NA,1,NA
1,1,1,1,1,1
NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA
NA,NA,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
NA,NA,NA,NA,1,NA
1,NA,1,1,1,1
1,1,1,1,1,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
