country,constitution_sexual_orientation,employment_sexual_orientation,goods_services_sexual_orientation,education_sexual_orientation,health_sexual_orientation,conversion_therapy_sexual_orientation,equality_body_mandate_sexual_orientation,equality_action_plan_sexual_orientation,constitution_gender_identity,employment_gender_identity,goods_services_gender_identity,education_gender_identity,health_gender_identity,conversion_therapy_gender_identity,equality_body_mandate_gender_identity,equality_action_plan_gender_identity,law_gender_expression,constitution_sex_characteristics,employment_sex_characteristics,goods_services_sex_characteristics,education_sex_characteristics,health_sex_characteristics,equality_body_mandate_sex_characteristics,equality_action_plan_sex_characteristics,blood_donations
Albania,NA,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1
Andorra,1,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1,1,0.5,0.5,0.5,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Belgium,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,1,NA,NA
Bosnia and Herzegovina,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,1,NA,0.5
Bulgaria,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
