hate_crime_law_sexual_orientation,hate_speech_law_sexual_orientation,policy_tackling_hatred_sexual_orientation,hate_crime_law_gender_identity,hate_speech_law_gender_identity,policy_tackling_hatred_gender_identity,hate_crime_law_intersex,policy_tackling_hatred_intersex
1,1,NA,1,1,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,1,NA,NA,NA
1,0.5,NA,1,0.5,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,NA
NA,1,NA,NA,NA,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
1,NA,NA,1,NA,NA,NA,NA
NA,NA,0.5,NA,NA,0.5,NA,0.5
1,1,NA,1,1,NA,1,NA
1,1,NA,1,1,NA,NA,NA
NA,1,NA,NA,1,NA,NA,NA
NA,1,1,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,NA,NA
1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,NA,1
NA,1,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,1,1,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA
1,1,NA,1,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,NA
1,1,0.5,1,1,0.5,0.5,NA
1,1,1,1,1,1,NA,NA
NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,0.5,0.5,NA,0.5,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
