existence_of_legal_measures,existence_of_administrative_procedures,name_change,self_determination,non_binary_recognition,no_gender_identity_disorder_diagnosis_psychological_opinion_required,no_compulsory_medical_intervention_required,no_compulsory_surgical_intervention_required,no_compulsory_sterilisation_required,no_compulsory_divorce_required,no_age_restriction,legal_gender_recognition_procedures_exist_for_minors,depathologisation
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA
1,1,1,1,NA,1,1,1,1,1,NA,1,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA
NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,1,1,1,1,1,NA,NA,NA
1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA
1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA
1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,1,NA,1,1,1,1,1,1,NA
1,1,1,NA,NA,1,1,1,1,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,NA,1,NA
1,1,1,1,NA,1,1,1,1,1,NA,NA,NA
1,1,1,NA,NA,NA,NA,1,1,NA,1,1,NA
NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
1,1,1,1,NA,1,1,1,1,1,1,1,NA
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,1,1,1,1,1,1,1,NA
1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1,1,1,1,NA,1,1,1,1,1,NA,1,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA
NA,1,1,NA,NA,NA,NA,1,1,1,1,1,NA
1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA
1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA
1,1,1,1,NA,1,1,1,1,1,1,1,NA
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
0.5,0.5,1,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
