year,ages,sexual_orientation,Estimate
2014,16-24,Heterosexual or straight,6802
2014,25-34,Heterosexual or straight,8213
2014,35-49,Heterosexual or straight,12247
2014,50-64,Heterosexual or straight,11377
2014,65+,Heterosexual or straight,10583
2014,16-24,Gay or lesbian,110
2014,25-34,Gay or lesbian,138
2014,35-49,Gay or lesbian,170
2014,50-64,Gay or lesbian,110
2014,65+,Gay or lesbian,37
2014,16-24,Bisexual,94
2014,25-34,Bisexual,60
2014,35-49,Bisexual,50
2014,50-64,Bisexual,44
2014,65+,Bisexual,31
2014,16-24,Other,30
2014,25-34,Other,27
2014,35-49,Other,34
2014,50-64,Other,35
2014,65+,Other,41
2014,16-24,Don't know or refuse,250
2014,25-34,Don't know or refuse,227
2014,35-49,Don't know or refuse,356
2014,50-64,Don't know or refuse,280
2014,65+,Don't know or refuse,325
2015,16-24,Heterosexual or straight,6780
2015,25-34,Heterosexual or straight,8251
2015,35-49,Heterosexual or straight,12326
2015,50-64,Heterosexual or straight,11459
2015,65+,Heterosexual or straight,10773
2015,16-24,Gay or lesbian,110
2015,25-34,Gay or lesbian,157
2015,35-49,Gay or lesbian,171
2015,50-64,Gay or lesbian,122
2015,65+,Gay or lesbian,39
2015,16-24,Bisexual,135
2015,25-34,Bisexual,76
2015,35-49,Bisexual,55
2015,50-64,Bisexual,44
2015,65+,Bisexual,31
2015,16-24,Other,30
2015,25-34,Other,37
2015,35-49,Other,50
2015,50-64,Other,49
2015,65+,Other,43
2015,16-24,Don't know or refuse,204
2015,25-34,Don't know or refuse,217
2015,35-49,Don't know or refuse,315
2015,50-64,Don't know or refuse,264
2015,65+,Don't know or refuse,330
2016,16-24,Heterosexual or straight,6613
2016,25-34,Heterosexual or straight,8335
2016,35-49,Heterosexual or straight,12223
2016,50-64,Heterosexual or straight,11710
2016,65+,Heterosexual or straight,10962
2016,16-24,Gay or lesbian,123
2016,25-34,Gay or lesbian,182
2016,35-49,Gay or lesbian,174
2016,50-64,Gay or lesbian,123
2016,65+,Gay or lesbian,43
2016,16-24,Bisexual,177
2016,25-34,Bisexual,79
2016,35-49,Bisexual,65
2016,50-64,Bisexual,49
2016,65+,Bisexual,33
2016,16-24,Other,56
2016,25-34,Other,40
2016,35-49,Other,65
2016,50-64,Other,56
2016,65+,Other,56
2016,16-24,Don't know or refuse,220
2016,25-34,Don't know or refuse,195
2016,35-49,Don't know or refuse,292
2016,50-64,Don't know or refuse,280
2016,65+,Don't know or refuse,318
2017,16-24,Heterosexual or straight,6485
2017,25-34,Heterosexual or straight,8398
2017,35-49,Heterosexual or straight,12151
2017,50-64,Heterosexual or straight,11914
2017,65+,Heterosexual or straight,11166
2017,16-24,Gay or lesbian,138
2017,25-34,Gay or lesbian,185
2017,35-49,Gay or lesbian,190
2017,50-64,Gay or lesbian,144
2017,65+,Gay or lesbian,49
2017,16-24,Bisexual,167
2017,25-34,Bisexual,84
2017,35-49,Bisexual,61
2017,50-64,Bisexual,55
2017,65+,Bisexual,32
2017,16-24,Other,68
2017,25-34,Other,49
2017,35-49,Other,75
2017,50-64,Other,69
2017,65+,Other,59
2017,16-24,Don't know or refuse,228
2017,25-34,Don't know or refuse,159
2017,35-49,Don't know or refuse,270
2017,50-64,Don't know or refuse,268
2017,65+,Don't know or refuse,276
2018,16-24,Heterosexual or straight,6354
2018,25-34,Heterosexual or straight,8357
2018,35-49,Heterosexual or straight,12048
2018,50-64,Heterosexual or straight,12069
2018,65+,Heterosexual or straight,11353
2018,16-24,Gay or lesbian,114
2018,25-34,Gay or lesbian,183
2018,35-49,Gay or lesbian,214
2018,50-64,Gay or lesbian,163
2018,65+,Gay or lesbian,50
2018,16-24,Bisexual,196
2018,25-34,Bisexual,98
2018,35-49,Bisexual,74
2018,50-64,Bisexual,56
2018,65+,Bisexual,33
2018,16-24,Other,66
2018,25-34,Other,52
2018,35-49,Other,75
2018,50-64,Other,62
2018,65+,Other,58
2018,16-24,Don't know or refuse,263
2018,25-34,Don't know or refuse,237
2018,35-49,Don't know or refuse,300
2018,50-64,Don't know or refuse,271
2018,65+,Don't know or refuse,280
2019,16-24,Heterosexual or straight,6116
2019,25-34,Heterosexual or straight,8326
2019,35-49,Heterosexual or straight,11854
2019,50-64,Heterosexual or straight,12152
2019,65+,Heterosexual or straight,11466
2019,16-24,Gay or lesbian,179
2019,25-34,Gay or lesbian,204
2019,35-49,Gay or lesbian,225
2019,50-64,Gay or lesbian,167
2019,65+,Gay or lesbian,66
2019,16-24,Bisexual,280
2019,25-34,Bisexual,117
2019,35-49,Bisexual,85
2019,50-64,Bisexual,56
2019,65+,Bisexual,54
2019,16-24,Other,69
2019,25-34,Other,52
2019,35-49,Other,91
2019,50-64,Other,74
2019,65+,Other,74
2019,16-24,Don't know or refuse,264
2019,25-34,Don't know or refuse,264
2019,35-49,Don't know or refuse,366
2019,50-64,Don't know or refuse,392
2019,65+,Don't know or refuse,308
