year,work_industry,sexual_orientation,estimate
2014,Managerial and Professional,Heterosexual or straight,14668
2014,Managerial and Professional,Gay or lesbian,269
2014,Managerial and Professional,Bisexual,71
2014,Managerial and Professional,Other,37
2014,Managerial and Professional,Don't know or refuse,412
2014,Intermediate,Heterosexual or straight,8468
2014,Intermediate,Gay or lesbian,85
2014,Intermediate,Bisexual,38
2014,Intermediate,Other,27
2014,Intermediate,Don't know or refuse,216
2014,Routine and Manual,Heterosexual or straight,26085
2014,Routine and Manual,Gay or lesbian,210
2014,Routine and Manual,Bisexual,170
2014,Routine and Manual,Other,102
2014,Routine and Manual,Don't know or refuse,810
2015,Managerial and Professional,Heterosexual or straight,15146
2015,Managerial and Professional,Gay or lesbian,284
2015,Managerial and Professional,Bisexual,77
2015,Managerial and Professional,Other,57
2015,Managerial and Professional,Don't know or refuse,378
2015,Intermediate,Heterosexual or straight,8576
2015,Intermediate,Gay or lesbian,94
2015,Intermediate,Bisexual,53
2015,Intermediate,Other,31
2015,Intermediate,Don't know or refuse,198
2015,Routine and Manual,Heterosexual or straight,25867
2015,Routine and Manual,Gay or lesbian,222
2015,Routine and Manual,Bisexual,210
2015,Routine and Manual,Other,121
2015,Routine and Manual,Don't know or refuse,755
2016,Managerial and Professional,Heterosexual or straight,15535
2016,Managerial and Professional,Gay or lesbian,305
2016,Managerial and Professional,Bisexual,86
2016,Managerial and Professional,Other,68
2016,Managerial and Professional,Don't know or refuse,355
2016,Intermediate,Heterosexual or straight,8546
2016,Intermediate,Gay or lesbian,93
2016,Intermediate,Bisexual,56
2016,Intermediate,Other,33
2016,Intermediate,Don't know or refuse,207
2016,Routine and Manual,Heterosexual or straight,25762
2016,Routine and Manual,Gay or lesbian,245
2016,Routine and Manual,Bisexual,261
2016,Routine and Manual,Other,171
2016,Routine and Manual,Don't know or refuse,743
2017,Managerial and Professional,Heterosexual or straight,15912
2017,Managerial and Professional,Gay or lesbian,330
2017,Managerial and Professional,Bisexual,93
2017,Managerial and Professional,Other,71
2017,Managerial and Professional,Don't know or refuse,340
2017,Intermediate,Heterosexual or straight,8768
2017,Intermediate,Gay or lesbian,109
2017,Intermediate,Bisexual,58
2017,Intermediate,Other,50
2017,Intermediate,Don't know or refuse,210
2017,Routine and Manual,Heterosexual or straight,25434
2017,Routine and Manual,Gay or lesbian,267
2017,Routine and Manual,Bisexual,248
2017,Routine and Manual,Other,198
2017,Routine and Manual,Don't know or refuse,650
2018,Managerial and Professional,Heterosexual or straight,16155
2018,Managerial and Professional,Gay or lesbian,347
2018,Managerial and Professional,Bisexual,134
2018,Managerial and Professional,Other,76
2018,Managerial and Professional,Don't know or refuse,397
2018,Intermediate,Heterosexual or straight,8706
2018,Intermediate,Gay or lesbian,108
2018,Intermediate,Bisexual,65
2018,Intermediate,Other,51
2018,Intermediate,Don't know or refuse,209
2018,Routine and Manual,Heterosexual or straight,25320
2018,Routine and Manual,Gay or lesbian,267
2018,Routine and Manual,Bisexual,258
2018,Routine and Manual,Other,186
2018,Routine and Manual,Don't know or refuse,744
2019,Managerial and Professional,Heterosexual or straight,16279
2019,Managerial and Professional,Gay or lesbian,387
2019,Managerial and Professional,Bisexual,155
2019,Managerial and Professional,Other,118
2019,Managerial and Professional,Don't know or refuse,555
2019,Intermediate,Heterosexual or straight,8644
2019,Intermediate,Gay or lesbian,133
2019,Intermediate,Bisexual,71
2019,Intermediate,Other,48
2019,Intermediate,Don't know or refuse,266
2019,Routine and Manual,Heterosexual or straight,24991
2019,Routine and Manual,Gay or lesbian,320
2019,Routine and Manual,Bisexual,365
2019,Routine and Manual,Other,194
2019,Routine and Manual,Don't know or refuse,773
