year,sex,sexual_orientation,ages,Estimate
2014,M,Heterosexual or straight,16-24,3450
2014,M,Heterosexual or straight,25-34,4059
2014,M,Heterosexual or straight,35-49,5982
2014,M,Heterosexual or straight,50-64,5603
2014,M,Heterosexual or straight,65+,4842
2014,M,Gay or lesbian,16-24,79
2014,M,Gay or lesbian,25-34,91
2014,M,Gay or lesbian,35-49,117
2014,M,Gay or lesbian,50-64,73
2014,M,Gay or lesbian,65+,28
2014,M,Bisexual,16-24,29
2014,M,Bisexual,25-34,19
2014,M,Bisexual,35-49,15
2014,M,Bisexual,50-64,14
2014,M,Bisexual,65+,11
2014,M,Other,16-24,15
2014,M,Other,25-34,12
2014,M,Other,35-49,18
2014,M,Other,50-64,18
2014,M,Other,65+,16
2014,M,Don't know or refuse,16-24,128
2014,M,Don't know or refuse,25-34,114
2014,M,Don't know or refuse,35-49,188
2014,M,Don't know or refuse,50-64,139
2014,M,Don't know or refuse,65+,126
2014,F,Heterosexual or straight,16-24,3352
2014,F,Heterosexual or straight,25-34,4153
2014,F,Heterosexual or straight,35-49,6265
2014,F,Heterosexual or straight,50-64,5774
2014,F,Heterosexual or straight,65+,5741
2014,F,Gay or lesbian,16-24,32
2014,F,Gay or lesbian,25-34,47
2014,F,Gay or lesbian,35-49,53
2014,F,Gay or lesbian,50-64,37
2014,F,Gay or lesbian,65+,9
2014,F,Bisexual,16-24,65
2014,F,Bisexual,25-34,41
2014,F,Bisexual,35-49,35
2014,F,Bisexual,50-64,30
2014,F,Bisexual,65+,21
2014,F,Other,16-24,15
2014,F,Other,25-34,15
2014,F,Other,35-49,16
2014,F,Other,50-64,17
2014,F,Other,65+,25
2014,F,Don't know or refuse,16-24,122
2014,F,Don't know or refuse,25-34,113
2014,F,Don't know or refuse,35-49,168
2014,F,Don't know or refuse,50-64,141
2014,F,Don't know or refuse,65+,199
2015,M,Heterosexual or straight,16-24,3453
2015,M,Heterosexual or straight,25-34,4067
2015,M,Heterosexual or straight,35-49,6029
2015,M,Heterosexual or straight,50-64,5618
2015,M,Heterosexual or straight,65+,4954
2015,M,Gay or lesbian,16-24,73
2015,M,Gay or lesbian,25-34,107
2015,M,Gay or lesbian,35-49,116
2015,M,Gay or lesbian,50-64,84
2015,M,Gay or lesbian,65+,30
2015,M,Bisexual,16-24,45
2015,M,Bisexual,25-34,34
2015,M,Bisexual,35-49,15
2015,M,Bisexual,50-64,13
2015,M,Bisexual,65+,9
2015,M,Other,16-24,18
2015,M,Other,25-34,19
2015,M,Other,35-49,32
2015,M,Other,50-64,25
2015,M,Other,65+,19
2015,M,Don't know or refuse,16-24,101
2015,M,Don't know or refuse,25-34,115
2015,M,Don't know or refuse,35-49,174
2015,M,Don't know or refuse,50-64,134
2015,M,Don't know or refuse,65+,120
2015,F,Heterosexual or straight,16-24,3327
2015,F,Heterosexual or straight,25-34,4184
2015,F,Heterosexual or straight,35-49,6297
2015,F,Heterosexual or straight,50-64,5841
2015,F,Heterosexual or straight,65+,5819
2015,F,Gay or lesbian,16-24,38
2015,F,Gay or lesbian,25-34,50
2015,F,Gay or lesbian,35-49,55
2015,F,Gay or lesbian,50-64,38
2015,F,Gay or lesbian,65+,9
2015,F,Bisexual,16-24,89
2015,F,Bisexual,25-34,42
2015,F,Bisexual,35-49,39
2015,F,Bisexual,50-64,30
2015,F,Bisexual,65+,21
2015,F,Other,16-24,12
2015,F,Other,25-34,17
2015,F,Other,35-49,18
2015,F,Other,50-64,24
2015,F,Other,65+,24
2015,F,Don't know or refuse,16-24,103
2015,F,Don't know or refuse,25-34,102
2015,F,Don't know or refuse,35-49,141
2015,F,Don't know or refuse,50-64,130
2015,F,Don't know or refuse,65+,210
2016,M,Heterosexual or straight,16-24,3372
2016,M,Heterosexual or straight,25-34,4135
2016,M,Heterosexual or straight,35-49,5987
2016,M,Heterosexual or straight,50-64,5747
2016,M,Heterosexual or straight,65+,5053
2016,M,Gay or lesbian,16-24,85
2016,M,Gay or lesbian,25-34,125
2016,M,Gay or lesbian,35-49,117
2016,M,Gay or lesbian,50-64,86
2016,M,Gay or lesbian,65+,30
2016,M,Bisexual,16-24,76
2016,M,Bisexual,25-34,26
2016,M,Bisexual,35-49,26
2016,M,Bisexual,50-64,21
2016,M,Bisexual,65+,13
2016,M,Other,16-24,22
2016,M,Other,25-34,22
2016,M,Other,35-49,34
2016,M,Other,50-64,29
2016,M,Other,65+,28
2016,M,Don't know or refuse,16-24,109
2016,M,Don't know or refuse,25-34,98
2016,M,Don't know or refuse,35-49,145
2016,M,Don't know or refuse,50-64,138
2016,M,Don't know or refuse,65+,113
2016,F,Heterosexual or straight,16-24,3241
2016,F,Heterosexual or straight,25-34,4200
2016,F,Heterosexual or straight,35-49,6237
2016,F,Heterosexual or straight,50-64,5963
2016,F,Heterosexual or straight,65+,5909
2016,F,Gay or lesbian,16-24,38
2016,F,Gay or lesbian,25-34,57
2016,F,Gay or lesbian,35-49,57
2016,F,Gay or lesbian,50-64,36
2016,F,Gay or lesbian,65+,12
2016,F,Bisexual,16-24,101
2016,F,Bisexual,25-34,53
2016,F,Bisexual,35-49,39
2016,F,Bisexual,50-64,27
2016,F,Bisexual,65+,20
2016,F,Other,16-24,34
2016,F,Other,25-34,18
2016,F,Other,35-49,31
2016,F,Other,50-64,26
2016,F,Other,65+,29
2016,F,Don't know or refuse,16-24,111
2016,F,Don't know or refuse,25-34,97
2016,F,Don't know or refuse,35-49,147
2016,F,Don't know or refuse,50-64,142
2016,F,Don't know or refuse,65+,205
2017,M,Heterosexual or straight,16-24,3326
2017,M,Heterosexual or straight,25-34,4158
2017,M,Heterosexual or straight,35-49,5964
2017,M,Heterosexual or straight,50-64,5830
2017,M,Heterosexual or straight,65+,5145
2017,M,Gay or lesbian,16-24,78
2017,M,Gay or lesbian,25-34,131
2017,M,Gay or lesbian,35-49,122
