CountryCode,question_label,target_group,residence,answer,percentage
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,5
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,20
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,55
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,20
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,21
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,43
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,31
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,6
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,29
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,43
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,19
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,9
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,30
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,36
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,21
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,12
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,11
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,19
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,33
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,36
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,5
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,24
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,51
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,20
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,3
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,23
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,50
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,25
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,18
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,25
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,41
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,15
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,23
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,43
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,24
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,10
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,9
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,31
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,41
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,19
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,4
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,21
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,51
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,23
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,26
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,44
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,24
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,6
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,42
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,31
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,21
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,7
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Dont know,0
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Always,30
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Often,30
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Rarely,24
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,City,Never,15
