CountryCode,question_label,target_group,subset,answer,percentage
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,4
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,26
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,47
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,23
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,8
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,27
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,32
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,32
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,24
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,19
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,33
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,24
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,8
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,16
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,45
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,32
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,10
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,20
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,36
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,34
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,0
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,15
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,33
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,52
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,8
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,32
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,38
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,21
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,1
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,16
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,25
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,37
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,22
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,20
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,32
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,25
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,24
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,5
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,26
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,38
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,30
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,1
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,16
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,40
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,23
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,21
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Dont know,0
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Always,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Often,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Rarely,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Lower secondary or less,Never,NA
