CountryCode,question_label,target_group,employment,answer,percentage
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,3
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,12
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,41
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,45
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,9
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,28
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,43
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,20
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,15
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,34
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,37
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,14
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,14
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,7
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,27
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,52
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,5
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,8
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,47
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,40
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,4
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,16
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,49
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,31
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,3
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,11
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,49
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,37
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,5
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,25
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,42
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,27
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,11
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,30
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Rarely,34
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Never,25
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Dont know,0
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Always,8
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,In paid work,Often,27
