CountryCode,question_label,target_group,residence,answer,percentage
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,2
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,13
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,46
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,39
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,13
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,29
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,40
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,18
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,15
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,33
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,36
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,16
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,10
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,11
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,23
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,55
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,6
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,8
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,44
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,43
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,4
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,17
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,50
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,29
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,2
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,15
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,48
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,35
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,6
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,23
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,40
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,31
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,10
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,31
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,34
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,25
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,8
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,26
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,47
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,20
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,1
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,11
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,46
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,42
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,13
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,33
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,38
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,17
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,24
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,25
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,37
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,14
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,12
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,23
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,39
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,25
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,11
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,22
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,38
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,29
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,5
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,27
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,43
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,25
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,18
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,15
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,51
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,17
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,NA
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,11
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,21
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,36
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,31
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,NA
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,NA
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,NA
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,NA
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,NA
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,2
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,13
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,51
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,34
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,14
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,33
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,31
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,22
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,5
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,15
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,47
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,33
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,12
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,30
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,34
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,24
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,3
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,20
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,48
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,29
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,7
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,22
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,26
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,45
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,20
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,27
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,34
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,19
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Always,12
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Often,26
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Rarely,46
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Never,16
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,City,Dont know,0
