CountryCode,question_label,target_group,education,answer,percentage
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,1
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,21
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,13
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,8
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",41
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,50
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",61
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),21
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,52
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,12
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,19
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
