marriage_equality,registered_partnership_similar_rights_to_marriage,registered_partnership_limited_rights,cohabitation,no_constitutional_limitation_on_marriage,joint_adoption,second_parent_adoption,automatic_co_parent_recognition,medically_assisted_insemination_couples,medically_assisted_insemination_singles,recognition_of_trans_parenthood
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,1,1,NA,1,1,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,NA,1,1,1,1,1,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,NA,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,1,NA,1,NA,NA,NA,NA,NA,1,NA
NA,1,NA,NA,1,NA,NA,NA,NA,1,NA
NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
1,NA,NA,1,1,1,1,1,1,1,NA
NA,NA,1,NA,1,NA,1,NA,NA,1,NA
1,NA,NA,1,1,1,1,NA,1,1,NA
1,NA,1,1,1,1,1,NA,1,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,NA,NA,1,1,1,1,NA,NA,NA,NA
NA,1,NA,1,1,NA,NA,NA,NA,1,NA
NA,1,NA,1,NA,NA,NA,NA,NA,1,NA
1,NA,NA,NA,1,1,1,NA,1,1,1
1,1,NA,1,1,1,NA,1,1,1,NA
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,1,1,1,NA,1,1,NA
1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
1,1,NA,1,1,1,1,1,1,1,NA
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1,NA,NA,1,1,1,1,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,1,1,1,1,1,1,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,1,1,1,NA,1,NA,NA,NA,1
1,0.5,0.5,0.5,1,1,1,1,1,1,NA
1,NA,NA,1,1,1,1,1,1,1,1
NA,1,NA,1,1,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,NA,1,1,1,1,1,1,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
