victim_char,usbps_women_%,usbps_men_%,ubo_women_%,ubo_men_%
age 15 to 24,60.8,23.7,32.8,19.7
age 25 to 34,50,20.6,23.8,11.9
age 35 to 44,34.7,12.6,17.8,13.5
age 45 to 54,26.5,11.3,14.5,14.5
age 55 to 64,18.6,7.3,11.2,11.5
age 65 to 74,13.5,7.1,10.7,11.3
age 75+,7.9,6.3,10.3,10
Indigenous  ID,39.8,20.5,30.2,19.5
First Nations,40,15.7,33.8,23.9
Métis,39.6,24.7,30,17.5
Non-Indigenous,31.5,13.1,18,13.4
visible_minority,34.8,15.7,17.9,14.3
non-visible_minority,31,12.6,18.5,13.3
immigrant,27.6,12.7,15.7,12.7
non-immigrant,33,13.7,19.2,13.9
heterosexual,30.5,12.5,17.5,13
gay_or_lesbian,50.7,38.2,21,27.6
bisexual,76.5,41.5,49.7,40.3
not_stated,23.8,14.1,14.6,12.3
has_disability,38.8,18.2,26.8,19.1
no_disability,27.3,11.3,13.1,11.3
employed_past_yr,36.9,13.4,20.3,13.7
not_employed_past_yr,21.9,13.5,13.7,13.3
attending_school,56.9,25.1,29.4,18.9
not_attending_school,27.9,11.8,16.5,12.8
married_common_law,26,9.8,13,12.1
separated_divorced_widowed,20.1,10.1,18.1,15.7
single_never_marrried,53.8,22.2,30.9,16.5
