" ",,,,,,,,"Upper",,,,,,,,"Middle Class",,,,,,,,"Working Class"
" ",,"Mature",,"Middle Aged",,"Young Adult",,"Teen",,"Mature",,"Middle Aged",,"Young Adult",,"Teen",,"Mature",,"Middle Aged",,"Young Adult",,"Teen"
"Gay"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" Caucasian","1%","[2]","3%","[10]","1%","[4]","0%","[0]","1%","[3]","28%","[99]","18%","[63]","0%","[0]","0%","[1]","1%","[2]","1%","[2]","0%","[0]"
" African-American","0%","[0]","1%","[3]","0%","[0]","0%","[0]","0%","[1]","1%","[5]","2%","[6]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Asian","0%","[0]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","1%","[2]","3%","[9]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Hispanic","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","1%","[2]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
"Lesbian"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" Caucasian","0%","[0]","5%","[17]","1%","[2]","0%","[0]","1%","[2]","11%","[38]","7%","[23]","1%","[2]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" African American","0%","[0]","1%","[3]","0%","[0]","0%","[0]","0%","[0]","1%","[5]","2%","[8]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Asian","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","1%","[3]","2%","[7]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Hispanic","0%","[0]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
"Bisexual"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" Caucasian","0%","[0]","0%","[0]","1%","[2]","0%","[0]","0%","[0]","1%","[5]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" African American","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Asian","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Hispanic","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
"Trans MtF"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" Caucasian","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","1%","[3]","0%","[0]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" African American","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","1%","[4]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Asian","0%","[0]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","0%","[1]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Hispanic","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[1]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
"Trans FtM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" Caucasian","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[1]","1%","[3]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" African American","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Asian","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
" Hispanic","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]","0%","[0]"
