,"Nvivo Query Data"
"US","135"
"Canada","4"
"Australia","7"
"Austria","1"
"Brazil","1"
"China","3"
"Finland","1"
"France","2"
"Italy","5"
"India","2"
"Malaysia","1"
"Netherlands","1"
"Norway","2"
"Portugal","1"
"Singapore, Vietnam","1"
"Spain","1"
"Sweden","3"
"Thailand","1"
"UK","9"
"UK (excl. Ireland)","2"
"US/RUSSIA","1"
"Worldwide","1"
"North America","140"
"Asia Pacific","15"
"Europe","28"
"Latin America","0"
"Rest","1"
"Total","184"
,"Data for Appendix 1"
"North America","76%"
"Asia Pacific","8%"
"Europe","15%"
"Latin America","0%"
"Rest","1%"
