" ",,,,,,,,"Urban (N = 642, 89.5%)",,,,,,,,"Rural (N = 75, 10.5%)",,,,,,,,"Totals (N = 717)"
" ",,"Female",,"Male",,"Other",," ",,"Female",,"Male",,"Other",," ",,"Female",,"Male",,"Other",," "
" ",,"N = 243",,"N = 379",,"N = 20",,"Urban",,"N = 25",,"N = 49",,"N = 1",,"Rural",,"N = 268",,"N = 428",,"N = 21",," "
" ",,"(37.9%)",,"(59.0%)",,"(3.1%)",,"Total",,"(33.3%)",,"(65.3%)",,"(1.3%)",,"Total",,"(37.4%)",,"(59.7%)",,"(2.9%)",,"Total"
"Characteristics","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%"
"Transgender","27","11.1","24","6.0","19","95.0","70","9.8","2","8.0","5","10.2","1","100.0","8","10.7","29","10.8","29","6.8","20","95.2","78","10.9"
"Age","(n = 241)","(n = 374)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"19-29","94","39.0","142","38.0","9","45.0","245","38.6","9","36.0","24","49.0","−","−","33","44.0","103","38.7","166","39.2","9","42.9","278","39.2"
"30-39","63","26.1","85","22.7","5","25.0","153","24.1","6","24.0","7","14.3","−","−","13","17.3","69","25.9","92","21.7","5","23.8","166","23.4"
"40-49","46","19.1","78","20.9","1","5.0","125","19.7","7","28.0","7","14.3","−","−","14","18.7","53","19.9","85","20.1","1","4.8","139","19.6"
"50-59","27","11.2","41","11.0","4","20.0","72","11.3","2","8.0","9","18.4","−","−","11","14.7","29","10.9","50","11.8","4","19.0","83","11.7"
"60+","11","4.6","28","7.5","1","5.0","40","6.3","1","4.0","2","4.1","1","100.0","4","5.3","12","4.5","30","7.1","2","9.5","44","6.2"
"Race","(n = 242)","(n = 376)"," "," "," "," "," "," ","(n = 48)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"White","222","91.7","343","91.2","16","80.0","581","91.1","24","96.0","46","95.8","1","100.0","71","95.9","246","92.1","389","91.7","17","81.0","652","91.6"
