" ",,,,,,,,"Urban (N = 648, 89.5%)",,,,,,,,"Rural (N = 75, 10.5%)"," ",,,,"Totals (N = 723)"," ",," "," "," "
" ",,"Gay/Lesbian N = 489 (75.5%)",,"Bisexual N = 103 (15.9%)",,"Heterosexual N = 14 (2.2%)",,"Unsure/Questioning/ Other N = 42 (6.5%)",,"Gay/ Lesbian N = 55 (73.3%)",,"Bisexual N = 16 (21.3%)",,"Heterosexual N = 2 (2.7%)",,"Unsure/Questioning/ Other N = 2 (2.7%)",,"Gay/ Lesbian N = 544 (75.2%)",,"Bisexual N = 119 (16.5%)",,"Heterosexual N = 16 (2.2%)",,"Unsure/Questioning/Other N = 44 (6.1%)",,"Total"
"Characteristics","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%"
"Transgender","16","3.3","18","17.5","14","100.0","22","52.4","1","1.8","3","18.8","2","100.0","2","100.0","17","3.1","21","17.6","16","100.0","24","54.5","78","10.8"
"Age","(n = 481)"," ","(n = 100)"," "," "," ","(n = 40)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"19-29","163","33.9","49","49.0","9","64.3","24","60.0","23","41.8","8","50.0","2","100.0","−","−","186","34.7","57","49.1","11","68.8","24","57.1","278","39.2"
"30-39","124","25.8","19","19.0","1","7.1","9","22.5","11","20.0","2","12.5","−","−","−","−","135","25.2","21","18.1","1","6.3","9","21.4","166","23.4"
"40-49","105","21.8","19","19.0","−","−","1","2.5","9","16.4","4","25.0","−","−","1","50.0","114","21.3","23","19.8","0","0.0","2","4.8","139","19.6"
"50-59","58","12.1","8","8.0","3","21.4","3","7.5","9","16.4","2","12.5","−","−","−","−","67","12.5","10","8.6","3","18.8","3","7.7","83","11.7"
"60+","31","6.4","5","5.0","1","7.1","3","7.5","3","5.5","−","−","−","−","1","50.0","34","6.3","5","4.3","1","6.3","4","9.5","44","6.2"
"Race","(n = 482)"," ","(n = 101)"," "," "," ","(n = 41)"," "," "," ","(n = 15)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"White","444","92.1","89","88.1","12","85.7","36","87.8","53","96.4","14","93.3","2","100.0","2","100.0","497","92.6","103","88.8","14","87.5","38","88.4","652","91.6"
"Black or African American","11","2.3","3","3.0","−","−","−","−","−","−","−","−","−","−","−","−","11","2.0","3","2.6","0","0.0","0","0.0","14","2.0"
"Asian","2","0.4","1","1.0","−","−","−","−","−","−","1","6.7","−","−","−","−","2","0.4","2","1.7","0","0.0","0","0.0","4","0.6"
"American Indian or Alaska Native","2","0.4","1","1.0","−","−","−","−","−","−","−","−","−","−","−","−","2","0.4","1","0.9","0","0.0","0","0.0","3","0.4"
"Other","23","4.8","7","6.9","2","14.3","5","12.2","2","3.6","−","−","−","−","−","−","25","4.7","7","6.0","2","12.5","5","11.6","39","5.5"
"Latino","23","4.7","8","7.8","−","−","1","2.4","3","5.5","−","−","−","−","−","−","26","4.8","8","6.7","0","0.0","1","2.3","35","4.8"
"Relationship Status","(n = 484)"," ","(n = 102)"," ","(n = 13)"," ","(n = 41)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Legally married to same-sex partner","50","10.3","2","2.0","−","−","−","−","1","1.8","−","−","−","−","1","50.0","51","9.5","2","1.7","0","0.0","1","2.3","54","7.6"
"Legally married to opposite-sex partner","4","0.8","19","18.6","4","30.8","5","12.2","−"," ","5","31.3","−","−","−","−","4","0.7","24","20.3","4","26.7","5","11.6","37","5.2"
"Partnered to/dating exclusively someone of the same sex","220","45.5","20","19.6","−","−","9","22.0","25","45.5","1","6.3","−","−","−","−","245","45.5","21","17.8","0","0.0","9","20.9","275","38.5"
"Partnered to/dating exclusively someone of the opposite sex","6","1.2","16","15.7","3","23.1","4","9.8","−","−","1","6.3","1","50.0","−","−","6","1.1","17","14.4","4","26.7","4","9.3","31","4.3"
