" ",,"Perceived General Health (N = 612)",,"Insurance Status (N = 608)",,"Smoking Status (N = 609)",,"Binge Drinking Status (N = 487)"
" ","Adjusted Odds Ratio±","95% CI","Adjusted Odds Ratio","95% CI","Adjusted Odds Ratio","95% CI","Adjusted Odds Ratio","95% CI"
"Socio-demographics"," "," "," "," "," "," "," "," "
"Unemployed","1.363",".482 - 3.851",".217***",".099 - .477","1.449",".709 - 2.960","1.045",".423 - 2.581"
"Income","1.253**","1.063 - 1.482",".726***",".640 - .823","1.072",".976 - 1.177","1.015",".917 - 1.124"
"College Education",".894",".420 - 1.903","1.128",".637 - 1.996",".501**",".330 - .761","1.025",".657 - 1.600"
"Age",".955**",".930 - .981",".998",".975 - 1.022","1.007",".990 - 1.024",".964***",".947 - .982"
"Married or Partnered",".864",".438 - 1.707",".707",".410 - 1.220",".782",".524 - 1.167",".882",".583 - 1.335"
"Male","2.456*","1.237 - 4.877","1.491",".839 - 2.648",".877",".580 - 1.326","1.617*","1.061 - 2.465"
"Transgender","2.227",".949 - 5.226","1.140",".438 - 2.967",".869",".424 - 1.783","4.711***","2.014 - 11.017"
"Minority Race","2.364",".822 - 6.801",".746",".279 - 1.996","1.717",".823 - 3.582",".710",".295 - 1.709"
"Hispanic","1.014",".231 - 4.450",".430",".139 - 1.328",".523",".190 - 1.441",".802",".269 - 2.394"
"LGBT Specific Indicators"," "," "," "," "," "," "," "," "
"Outness","1.009",".967 - 1.053","1.065**","1.024 - 1.108",".987",".960 - 1.015","1.016",".987 - 1.045"
"Self Acceptance","1.022",".966 - 1.081",".994",".994 - 1.042",".984",".949 - 1.021","1.009",".972 - 1.047"
"Social Engagement","1.010",".977 - 1.044","1.000",".975 - 1.025","1.004",".985 - 1.024","1.035**","1.011 - 1.058"
"Depressive Symptoms",".956*",".90 - .983","1.030*","1.006 - 1.055","1.000",".981 - 1.018","1.009",".990 - 1.028"
"Urban","1.316",".457 - 3.787","2.090*","1.009 - 4.326",".965",".522 - 1.786","1.178",".615 - 2.259"
