" ",,"Geographic Area"," "," "
" ","Rural","Urban"," "," "
"Response","(n = 172)","(n = 518)","χ2","Φ"
"Parents (n = 690)"," "," "," "," "
"No","443","140","1.678",".049"
" ","(437.7)","(145.3)"," "," "
"Yes","75","32"," "," "
" ","(80.3)","(25.7)"," "," "
"Siblings (n = 689)"," "," "," "," "
"No","458","132","14.714*",".146"
" ","(442.7)","(147.3)"," "," "
"Yes","59","40"," "," "
" ","(74.3)","(24.7)"," "," "
"Closest friends (n = 689)"," "," "," "," "
"No","476","132","29.220*",".206"
" ","(456.2)","(151.8)"," "," "
"Yes","41","40"," "," "
" ","(60.8)","(20.2)"," "," "
"Coworkers (n = 689)"," "," "," "," "
"No","381","103","11.78*",".131"
" ","(363.2)","(120.8)"," "," "
"Yes","136","69"," "," "
" ","(153.8)","(51.2)"," "," "
"Supervisor/boss (n = 690)"," "," "," "," "
"No","386","118","2.293",".058"
" ","(378.4)","(125.6)"," "," "
"Yes","132","54"," "," "
" ","(139.6)","(46.4)"," "," "
"Health care providers (n = 690)"," "," "," "," "
"No","439","138","1.923",".053"
" ","(433.2)","(143.8)"," "," "
"Yes","79","34"," "," "
" ","(84.8)","(28.2)"," "," "
"Acquaintances (n = 689)"," "," "," "," "
"No","387","112","6.129*",".094"
" ","(374.4)","(124.6)"," "," "
"Yes","130","60"," "," "
" ","(142.6)","(47.4)"," "," "
"Neighbors (n = 690)"," "," "," "," "
"No","392","108","10.744*",".125"
" ","(375.4)","(124.6)"," "," "
"Yes","126","64"," "," "
" ","(142.6)","(47.4)"," "," "
"People at places where I attend religious services (n = 690)"," "," "," "," "
"No","465","136","13.155*",".138"
" ","(451.2)","(149.8)"," "," "
"Yes","53","36"," "," "
" ","(66.8)","(22.2)"," "," "
"Not guarded with anyone (n = 690)"," "," "," "," "
"No","334","124","3.353","−.070"
" ","(343.8)","(114.2)"," "," "
"Yes","184","48"," "," "
" ","(174.2)","(57.8)"," "," "
,,,,"*Chi-square statistic is significant at the .05 level."
