" ","Transgender female","Transgender male","Non-binary MAABd","Non-binary FAABd","Result of group"
" ","n (%)","n (%)","n (%)","n (%)","comparison"
"Sexual abuse <16 years","7 (9%)a","30 (21.1%)b","6 (8.7%)a","50 (24.3%)b","χ2(3) = 14.10, p = 003*"
"Sexual abuse lifetime","14 (17.9%)a","37 (26.1%)ab","10 (14.5%)a","69 (33.5%)b","χ2(3) = 13.29, p = 0.004*"
"Other abuse or violence from someone close-lifetime","28 (32.6%)ab","72 (43.4%)ac","20 (24.7%)b","100 (45.7%)c","χ2(3) = 13.62, p = 0.003*"
"Left home due to sexuality or gender identity","21 (26.3%)","44 (30.3%)","15 (22.1%)","40 (23.1%)","χ2(3) = 2.72, p = 0.437"
"LGBTQ victimization (lifetime)"," "," "," "," "," "
" Verbal abuse","75 (84.3%)","137 (81.5%)","67 (82.7%)","170 (75.9%)","χ2(3) = 3.98, p = 0.264"
" Threat/intimidation","57 (64%)a","101 (60.5%)a","52 (64.2%)a","112 (50%)","χ2(3) = 8.80, p = 0.032*"
" Physical assault","39 (43.8%)a","45 (26.9%)b","38 (46.9%)a","62 (27.7%)b","χ2(3) = 17.49, p = 0.001*"
" Theft","13 (14.6%)","23 (13.7%)","14 (17.3%)","25 (11.2%)","χ2(3) = 2.15, p = 0.542"
" Blackmail","11 (12.5%)a","38 (22.6%)b","17 (21%)bc","28 (12.5%)ac","χ2(3) = 9.23, p = 0.026*"
" Damage to property","8 (9%)a","30 (17.9%)a","25 (30.9%)","35 (15.6%)a","χ2(3) = 15.09, p = 0.002*"
