" ",,"Total",,"Men",,"Women"
"Variable","n","%","n","%","n","%"
"Age"," "," "," "," "," "," "
" M","59.6"," ","59.9"," ","58.4"," "
" SD","8.00"," ","8.41"," ","6.57"," "
,"Age group"," "," "," "," "," "
" 50–54","67","32.4","48","32.7","17","35.4"
" 55–59","51","24.6","32","21.8","13","27.1"
" 60–64","34","16.4","27","18.4","7","14.6"
" 65–69","30","14.5","19","12.9","9","18.8"
" 70+","25","12.1","21","14.3","2","4.2"
,"Gender"," "," "," "," "," "
" Male","148","70.5","148","100.0"," "," "
" Female","50","23.7"," "," ","50","23.7"
" Transgender male","1","0.5"," "," "," "," "
" Transgender female","10","4.8"," "," "," "," "
" Intersex","1","0.5"," "," "," "," "
"Sexual identity"," "," "," "," "," "," "
" Gay/lesbian","165","80.1","116","80.0","44","88.0"
" Bisexual","28","13.6","23","15.9","3","6.0"
" Queer","7","3.4","5","3.4","1","2.0"
" Questioning","3","1.5","1","0.7","2","4.0"
" Heterosexual","3","1.5"," "," "," "," "
"Race/ethnicity"," "," "," "," "," "," "
" Black/African American","66","32.0","47","32.0","14","29.8"
" White/Caucasian","127","61.7","92","62.6","30","63.8"
" Hispanic","8","3.9","6","4.1","2","4.3"
" Asian/Pacific Islander","1","0.5","1","0.7","0","0.0"
" American Indian/Alaskan Native","1","0.5","0","0.0","1","2.1"
" Other","3","1.5","1","0.7","0","0.0"
"Education"," "," "," "," "," "," "
" Less than high school","10","4.9","6","4.2","2","4.1"
" High school graduate/GED","31","15.2","24","16.7","4","8.2"
" Some college","50","24.5","33","22.9","12","24.5"
" College graduate/postgraduate","113","55.4","81","56.2","31","63.3"
"Income adequacy"," "," "," "," "," "," "
" Not enough for expenses","32","15.5","23","15.9","6","12.0"
" Just manage to get by","94","45.6","68","46.9","20","40.0"
" Enough with a little extra","46","22.3","31","21.4","14","28.0"
" Money not a problem","34","16.5","23","15.9","10","20.0"
"Work status**"," "," "," "," "," "," "
" Working","58","27.9","32","21.9","25","50.0"
" Unemployed","26","12.5","21","14.4","4","8.0"
" Disability","62","29.8","46","31.5","9","18.0"
" Retired","58","27.9","45","30.8","10","20.0"
" Volunteer","2","1.0","1","0.7","1","2.0"
" Other","2","1.0","1","0.7","1","2.0"
"Military veteran**","28","13.4","26","17.6","1","2.0"
"Marital/partnership status*"," "," "," "," "," "," "
" Married","8","3.9","5","3.5","2","4.1"
" Civil union","2","1.0","2","1.4","0","0.0"
" Registered domestic partner","10","4.9","3","2.1","7","14.3"
" Life partner","50","24.4","35","24.3","15","30.6"
" Common law","1","0.5","0","0.0","0","0.0"
" Widowed/partner deceased","8","3.9","8","5.6","0","0.0"
" Divorced/separated","19","9.3","12","8.3","4","8.2"
" Single/not married","107","52.2","79","54.9","21","42.9"
,,,,,,"Note. N = 210 (men, n = 148; women, n = 50). GED = general equivalency diploma."
,,,,,,"*p < .05. **p < .01."
