" ",,"Overall(n = 1694)",,"American Indian & Alaska Native(n = 42)",,"Asian(n = 77)",,"Black or African American(n = 67)",,"Hispanic or Latinx(n = 101)",,"Middle Eastern or North African(n = 24)",,"Native Hawaiian & other Pacific Islander(n = 5)",,"White(n = 1472)",,"Multiple racial identities(n = 202)"
" ","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%"
"Ever use of testosterone","469","28","14","33","15","19","18","27","26","26","6","25","1","20","421","29","58","29"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Ever pregnant","210","12","9","21","12","19","8","12","13","13","5","21","0","0","190","13","34","17"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Pregnancies per respondent"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"0","1455","--","33","--","65","--","59","--","88","--","19","--","5","--","1280","--","168","--"
"1","115","--","2","--","9","--","8","--","7","--","4","--","0","--","102","--","19","--"
"2","47","--","3","--","2","--","0","--","4","--","0","--","0","--","43","--","8","--"
"3+","48","--","4","--","1","--","0","--","2","--","1","--","0","--","45","--","7","--"
"Missing","29","--","0","--","0","--","0","--","0","--","0","--","0","--","2","--","0","--"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Total pregnancies","433","--","36","--","19","--","8","--","21","--","8","--","0","--","393","--","69","--"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Pregnancy outcomes"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Still pregnant","7","2","0","0","0","0","0","0","0","0","0","0","0","0","7","2","1","1"
"Miscarriage","142","33","18","50","9","47","5","63","4","19","3","38","0","0","127","32","28","41"
"Ectopic pregnancy","2","0.5","0","0","0","0","0","0","0","0","1","13","0","0","2","0.5","1","1"
"Abortion","92","21","2","6","6","32","2","25","7","33","1","13","0","0","90","23","15","22"
"Stillbirth","2","0.5","0","0","0","0","0","0","0","0","0","0","0","0","2","0.5","0","0"
"Live birth","169","39","14","39","4","21","1","13","10","48","3","38","0","0","158","40","24","35"
"Unknown","19","4","2","6","0","0","0","0","0","0","0","0","0","0","7","2","0","0"
"Cesarean birth","39","23","3","21","1","25","0","0","1","10","0","0","0","0","37","23","4","17"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Ever had an unintended pregnancy","153","73","8","89","10","83","7","88","9","69","4","80","0","0","139","73","26","76"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Considers self at risk for future unplanned pregnancy","182","11","4","10","9","12","6","9","14","14","3","13","2","40","157","11","26","13"
