"Sexual orientation","%","95% CI"
"Identity"," "," "
" Bisexual/Pansexual","24.0","[16.4, 33.3]"
" Gay","10.0","[4.1, 17.7]"
" Lesbian","4.1","[1.3, 7.8]"
" Asexual","14.9","[8.8, 24.1]"
" Queer","48.2","[34.7, 58.7]"
" Straight/Heterosexual","34.3","[24.1, 47.1]"
" Two-spirit","3.0","[1.1, 5.7]"
" Not sure/Questioning","11.9","[5.0, 20.1]"
" Other","5.0","[0.4, 11.0]"
"Past-year partners"," "," "
" Trans men","10.2","[4.7, 16.1]"
" Cis men","21.3","[12.8, 31.0]"
" Trans women","6.8","[1.6, 13.4]"
" Cis women","43.6","[32.0, 53.4]"
" Genderqueer persons","13.7","[6.4, 21.0]"
,,"Note. CI = confidence intervals; cis = cisgender (nontrans)."
