" ","%","95% CI"
"Sexual satisfaction"," "," "
"  Low","27.5","[14.5, 42.0]"
"  Moderate","33.3","[20.9, 45.6]"
"  High","39.2","[26.1, 54.4]"
"Sexual body image worries"," "," "
"  Low","42.6","[30.1, 58.2]"
"  Moderate","37.4","[24.7, 49.7]"
"  High","20.0","[10.0, 30.7]"
"Depressive symptoms"," "," "
"  CES-D < 16","26.1","[15.7, 35.2]"
"  CES-D 16–26","22.2","[12.4, 33.5]"
"  CES-D ≥ 27","51.7","[39.5, 65.9]"
"Experience of transphobic"," "," "
" violence"," "," "
"  None","47.0","[32.3, 61.6]"
"  Verbal harassment or","36.1","[24.6, 48.5]"
"   threat"," "," "
"  Physical or sexual assault","16.9","[7.3, 28.9]"
,,"Note. MSM = men who have sex with men; CI = confidence intervals; CES-D = Center for Epidemiological Studies Depression Scale."
