" ",,,"Binary trans",,,"GQNB"," "
" ","Trans women (AMAB)","Trans men (AFAB)","Total","AMAB","AFAB","Total"," "
"Age (years) (M, SD)"," "," ","27.1 (10.25)"," "," ","24.7 (8.15)","p = .004"
" ","31.0 (12.24)","24.5 (7.58)"," "," "," "," ","p < .001"
" "," "," "," ","27.7 (11.63)","24.1 (7.08)"," ","p = .601"
"Educational level (M, SD)"," "," ","3.69 (1.05)"," "," ","3.53 (1.15)","p = .053"
" ","3.72 (1.00)","3.67 (1.09)"," "," "," "," ","p = .649"
" "," "," "," ","3.88 (1.20)","3.45 (1.13)"," ","p = .032"
"Educational level condensed (%)"," "," "," "," "," "," ","p = .038"
"Low"," "," ","13.6"," "," ","20.4"," "
"Middle"," "," ","55.7"," "," ","48.7"," "
"High"," "," ","30.7"," "," ","30.9"," "
"Economic stress (M, SD)"," "," ","3.35 (1.39)"," "," ","3.01 (1.33)","p = .002"
" ","3.40 (1.47)","3.31 (1.34)"," "," "," "," ","p = .523"
" "," "," "," ","2.97 (1.23)","3.02 (1.35)"," ","p = .828"
"Economic stress condensed (%)"," "," "," "," "," "," ","p = .007"
"(very) Easily"," "," ","28.7"," "," ","37"," "
"Fairly easily/with some difficulty"," "," ","51.0"," "," ","51.4"," "
"With (great) difficulty"," "," ","20.3"," "," ","11.5"," "
"Minority group (% belonging to)"," "," "," "," "," "," "," "
"Ethnic minority"," "," ","8"," "," ","11.2","p = .174"
" ","7","8.7"," "," "," "," ","p = .478"
" "," "," "," ","11.4","11.1"," ","p = .957"
"Religious minority"," "," ","9"," "," ","15.6","p = .010"
" ","10.1","8.3"," "," "," "," ","p = .469"
" "," "," "," ","22.9","14.1"," ","p = .195"
"Sexual minority"," "," ","75.8"," "," ","93.8","p < .001"
" ","72.0","78.5"," "," "," "," ","p = .087"
" "," "," "," ","86.1","95.3"," ","p = .037"
"Minority due to ability status"," "," ","24.7"," "," ","34","p = .011"
" ","23.3","25.7"," "," "," "," ","p = .532"
" "," "," "," ","25","35.9"," ","p = .210"
"In need of GAMI (% Yes)"," "," ","88.2"," "," ","74.1","p < .001"
" ","88.5","88"," "," "," "," ","p = .851"
" "," "," "," "," ","67.5","75.5","p = .292"
