" ",,,"Attitudes toward trans individuals",,,"Attitudes toward MtF trans individuals",,,"Attitudes toward FtM trans individuals"
" ","1","2","3","1","2","3","1","2","3"
"Female","5.71","4.38","1.81","2.25","1.73",".68","2.54","2.05","1.04"
"Feminist identity"," ","4.83",".67"," ","1.85",".22"," ","1.74",".21"
"LGB attitudes"," "," "," "," "," "," "," "," "," "
" Attitudes toward gays"," "," ",".36"," "," ",".15"," "," ",".15"
" Attitudes toward lesbians"," "," ",".03"," "," ",".01"," "," ",".01"
" Attitudes toward bisexual men"," "," ",".50"," "," ",".22"," "," ",".13"
" Attitudes toward bisexual women"," "," ",".28"," "," ",".08"," "," ",".11"
"Controls"," "," "," "," "," "," "," "," "," "
" Bisexual","8.59","6.74","−.50","3.23","2.88","−.35","3.31","2.54",".01"
" Gay/lesbian","9.01","7.88","−.29","3.31","2.88","−.38","3.30","2.90","−.14"
" Non-white","−.50","−.74","−.15","−.15","−.24","−.00","−.17","−.25","−.02"
" Age",".46",".44",".26",".15",".14",".07",".16",".16",".09"
" Grew up in South","−1.27","−1.01","−.51","−.48","−.37","−.20","−.43","−.33","−.17"
" Total high school size","1.59","1.34","−.37",".59",".51","−.18",".67",".59","−.06"
" Freshman","−1.13","−.70",".56","−.40","−.24",".26","−.44","−.28",".16"
" GPA","−.18","−.26",".08","−.08","−.11",".03","−.03","−.06",".08"
" Sociology major/minor","−.15","−.19","−.44","−.04","−.06","−.14","−.13","−.15","−.24"
"R2",".17",".23",".72",".16",".22",".73",".19",".24",".68"
