"Characteristic","N","%","M","SD"
"Participants","291"," "," "," "
"Age (years)"," "," ","36.95","13.16"
"Race/Ethnicity"," "," "," "," "
" White/European American/Caucasian","216","74.2"," "," "
" African/African-American/Black","26","8.9"," "," "
" Hispanic/Latina/o American","23","7.9"," "," "
" Asian/Asian American","17","5.8"," "," "
" Asian Indian","4","1.4"," "," "
" Arab American/Middle Eastern","2","0.7"," "," "
" American Indian/Native American/First Nation","1","0.3"," "," "
" Other race or ethnicity","2","0.7"," "," "
"Sexual orientation"," "," "," "," "
" Heterosexual","263","90.1%"," "," "
" Bisexual","10","3.4%"," "," "
" Lesbian","5","1.7%"," "," "
" Gay","4","1.4%"," "," "
" Pansexual","3","1.0%"," "," "
" Asexual","3","1.0%"," "," "
" Other","1","0.3%"," "," "
"Gender"," "," "," "," "
" Cisgender woman","181","62.2%"," "," "
" Cisgender man","109","37.5%"," "," "
" Another Gender Identity","1",".3%"," "," "
